tweet,classe,date
ضد فأفيخاى أصلعى غادي نصوت للعدالة و التنمية ضد فصفحة سانك للفتنة غادى نصوت للعدالة و التنمية ضد فمسيمنة الصهيونى غادي نصوت للعدالة والتنمية ضد فوهبي غادي نصوت للعدالة والتنمية ضد فأخنوش غادي نصوت للعدالة والتنمية ضد فصحاب تازة قبل غزة غادي نصوت للعدالة و التنمية ضد فالقجع غادي نصوت للعدالة والتنمية ضد فلى خانوا ناس الحوز غادي نصوت للعدالةوالتنمية,"pro PJD","2025-06-02"
ليس دفاعًا عن حزب العدالة والتنمية، وإنما تساؤل مشروع لماذا لا يوجه هؤلاء نفس مستوى النقد لحزب التجمع الوطني للأحرار كما يوجهونه للعدالة والتنمية ؟ الأمر لا يدل إلا على أنهم أقلام مأجورة تحركها الحاجة ومصالح من يتحكمونبها,"contre RNI, contre PJD","2025-04-15"
حكومة الأحرار لا تخطئ هدفها تُجهز على ما تبقى من الأمل بشراسة الواثق من الإفلات من الحساب، لا تنمية، لا كرامة، لا عدالة فقط وعود تتبخر، وقرارات تعمق الجراح حكومة الأحرار ستقضى على ضوء الأمل الذي تبقى، لن تنتهى هذه الولاية الحكومية حتى تجهز على كل شبر من الأمل، وكل خيط رفيع يربط المواطن بهذا الوطن، كأنها جاءت لا لتبنى بل لتهدم ما تبقى من ثقة، ولتطفئ ما تبقى من وهج الحلم في عيون الناس كل قرار يتخذ، وكل خطاب يُلقى، يزيد من عمق الهوة بين السلطة والشارع، بين الواقع والوعود كل يوم يمرّ، يتبيّن أن هذه الحكومة لا تملك بوصلة تنمية ولا نبض شعب، تُدير الظهر للمقهورين، وتراكم الثروات في جيوب المحظوظين، تتحدث عن الإصلاح، ولكنها تمارس الإجهاز، تَعِدُ بالعدالة الاجتماعية، ولكنها تكرّس اللامساواة في المدن الهامشية، حيث لا يصل صدى الخطابات الرسمية تنطفئ المصابيح باكرًا وتُغلق الأبواب على وجع مزمن، في القرى المنسية، يُولد الأطفال على أنقاض المدارس، ويشيخ الشباب في طوابير الانتظار الحكومة لا تسمع أنينهم، ولا ترى وجوههم، كل ما تراه هو أرقام التقارير التي تريد و تغض الطرف عن التقارير التي ترصد واقعا متعفنا إنها ولاية لا تراكم سوى الإحباط، ولا تترك خلفها سوى أسئلة من,contre RNI,"2025-06-03"
بنکیران حنا داخلين للانتخابات المقبلة باش نجيو اللولين وسنترأس حكومة المونديال ,pro PJD,"2025-03-13"
بنكيران للشباب بنيو مستقبلكم بالجدية والأخلاق وما يغركمش اللي كيدوزو بالفلوس والمعارف ,pro PJD,"2025-05-17"
بنكيران مع هاد الحكومة مغديش ابقى الزواج هاد الشي اللي باغين يوصلو ليه ,contre RNI,"2025-05-20"
ضد الفساد المستشري غادي نصوت للعدالة والتنمية ضد الليبراليين الفاشلين غادي نصوت للعدالة والتنمية ,Pro PJD,"2025-05-17"
حكومة الأحرار تدفن أحلام الشباب وتقتل الأمل في مستقبل أفضل لا عدالة اجتماعية ولا تنمية حقيقية,contre RNI,"2025-05-17"
بنكيران للفلاحين الصغار مغاديش نخلوكم تحت رحمة السماسرة ,contre RNI,"2025-03-15"
حكومة الفشل تزيد من معاناة المواطن يومًا بعد يوم متى سنتحرر من هذا الكابوس؟,contre RNI,"2025-02-19"
كلشي بايع هذا الشعب المقهور في سوق النخاسة,contre RNI,"2025-02-03"
حكومة ترفع أسعار المحروقات وتخنق الشعب ,contre RNI,"2025-03-12"
لأحزاب ديال المغاربة كلهم كيبعوا الوهم للمواطن و همهم الوحيد تزكيةأرصدتهم البنكية,perdre la confiance dans tous les partis politiques,"2025-04-26"
بن كيران رجل سياسي شهم يستحق رئيس حكومة,pro PJD,"2025-02-15"
عبد الرحيم بوعيدة كيبان ليا انا اختيار الأنسبلحكومة,pro PAM,"2025-02-22"
بن كيران يعلن جهرا أنه مع القضية الفلسطينية، وهذا شأن كل مسلم ذي عقيدة راسخة، أما قطرة في بحر فهي تؤيد الصهيونية المتو حشة ومع ذلك تريد من يناصر الحق أن يسكت بالمناسبة لن أصوت على حزب بن كيران ولاأي حزب آخر,"pro PJD , perdre la confiance dans tous les partis politiques","2025-04-10"
صحاب الصفحات دبا دورو معاهم باش يروجو تاهما للانتخابات الله يلعنليمايحشم,"contre PAM, contre PJD","2025-02-02"
بن کیران سالات ساعته، واش هو فات السبعينات وباقى غيسير البلاد والعباد ؟ واش الشباب مكاينينش للى كلهم طاقات وإبداع ؟ السيد صافي خصو يرتاح ويسبح ويعطى الراحة الراسوو ويعطى التيقار للسياسة والتهتريف كل مرة كيخرج كلام لا علاقة يدل على الخرف ولكن قوم تبع كتغلبهم العاطفة ومكيفكروش بالمنطق والعقل لا يعقل أنك تصوت بلا ما تشوف برنامج عمل ديالهم ولا والوو غير قالك نكتة ضحكاتك صافي مكنصوتوش للي كيضحكنا ويفوج علينا هذا ماشى مسرح ولا سينيما كنصوتوا على الطاقات للى كلها كفاءات وكتحط برنامج عمل طموح وكتفصل فيه وتدافع عليه,contre PJD,"2025-05-16"
اللهم أخنوش ولا هاذ الحلايقي مزال أخنوش عندو خطط حاطهم لى تسيير شؤون البلاد وحكومة إقتصادية أما هاذا ورباعتو راه عا بياعين الكلام أيوصلو المغرب لحضيظ معند دینت مو ما يزيد البلاد وغادى عى يكمل على داكشي لي بادي أخنوش يرجعو بسميتو وعاو أناس و میلعبش ليكم بالعاطفة,"contre PJD , pro RNI","2025-03-31"
ليس في القنافذ املس كلكم بحال بحال لا فرق بينكم شلاهبية,"contre PAM, contre PJD, contre RNI","2025-05-05"
العدالة والتنمية سيظل شوكة في حلق كل فاسد ومرتشي ,contre RNI,"2025-02-13"
ضد هاد السياسة ديال التسويف، غادي نصوت على صوت الشعب، العدالة والتنمية,contre PJD,"2025-04-06"
الأحرار كيدمرو الثقة بين المواطن والدولة قرار بعد قرار,contre RNI,"2025-03-21"
كل ما كيزيدو فالأسعار كيتضح أن هاد الحكومة ما كتخدمش الشعب,contre RNI,"2025-03-18"
بن كيران راه قالها ماشي بالفلوس كتوصل، بالجدية و الأخلاق,pro PJD,"2025-05-08"
ماشي كل من دار خطاب فالتلفزة كيعني أنه كيسمع للشعب,perdre la confiance dans tous les partis politiques,"2025-04-23"
بغينا حكومة عندها القلب و الضمير، ماشي حسابات رجال أعمال,"perdre la confiance dans tous les partis politiques","2025-03-15"
فين هو الإصلاح؟ الوعود كتتكلم، والواقع كيبكي,contre RNI,"2025-03-26"
بن كيران يعلن جهراً أنه مع القضية الفلسطينية، وهذا شأن كل مسلم ذي عقيدة راسخة أما من يدعم الصهيونية فهو خسيس، ومع ذلك يريد من ينصر الحق أن يسكت بالمناسبة، لن أصوت على حزب بن كيران ولا أي حزب آخر,"pro PJD","2025-03-19"
بن كيران سالات ساعته، واش ما فاتش السبعينات وباقي غادي يسير البلاد والعباد؟ واش الشباب ما كاينش اللي كلهم طاقات وإبداع؟ السيد خصو يرتاح ويسبح ويعطي الراحة لراسُه ويخلي السياسة والتهريج كل مرة كيخرج كلام ما عندوش علاقة، كيدل على الخرف ولكن الناس كتتبع العاطفة وما كيفكروش بالعقل والمنطق ما معقولش تصوت بلا ما تشوف برنامج العمل ديالهم، غير قالك نكتة وضحكاتك صافي ما نصوتوش للي كيضحكنا ويفوج علينا، هذا ماشي مسرح ولا سينما نصوتوا على الطاقات اللي كلها كفاءات وكتحط برنامج عمل طموح وتفصل فيه وتدافع عليه,contre RNI,"2025-04-26"
نتمنى نشوف خطط واضحة ومشاريع حقيقية لتسيير شؤون البلاد، بعيدا عن الكلام الفارغ والمزايدات السياسية حان الوقت للعمل بجدية لصالح المواطنين,"Pro PAM, contre RNI","2025-05-10"
شكون اللي باقي يتيق فشي حزب؟ داكشي كلو مسرحية وكاعهم كيشدو فلوس على ظهرنا,perdre la confiance dans tous les partis politiques,"2025-05-19"
هاد الحكومة ديال أخنوش خلاتنا كنعيشو غير على الأعصاب لا دعم، لا حلول، غير القمع والتبريرات,contre RNI,"2025-05-17"
اللي صوت على الأحرار يصبر على الغلاء، ماشي كل مرة تسبو الحكومة اللي صوتيتو عليها,contre RNI,"2025-04-21"
السياسة فالمغرب ما بقاتش كتعطي الأمل، كلهم كيلعبو بينا بحال دمى,perdre la confiance dans tous les partis politiques,"2025-03-17"
واش بصح كنعيشو فدولة؟ الغلا داكشي ولى خيالي، الحكومة ساكتة، والشعب كيموت بشوية بشوية,contre RNI,"2025-02-15"
صراحة، الحكومة دارت مجهودات فالتغطية الصحية، ماشي ساهل توصل الخدمات لكلشي فهاد الظروف,pro RNI,"2025-02-23"
صحيح أن التغطية الصحية ملف معقد، ولكن خاصنا حلول عملية توصل الخدمات لكل المواطنين بلا استثناء,pro RNI,"2025-06-01"
خاصنا مسؤولين عندهم الجرأة يسمعو للشعب ويدافعو على مصالحو بصراحة وشفافية، ماشي غير وعود بلا فعل,contre RNI,"2025-05-06"
الله يرحم أيام بنكيران، كان كيسمع لينا وكيواجه البرلمان بشجاعة، ماشي بحال دابا كولشي ساكت,"pro PJD, contre RNI","2025-05-07"
الناس كتمشي للسبيطار وكتخرج مريضة أكثر، والتعليم ما بقى فيه أمل هاد الحكومة فاشلة,contre RNI,"2025-03-15"
كل مرة الحكومة كتخرج تبرر الغلا بلا حلول، حنا بغينا أفعال ماشي كلام,contre RNI,"2025-03-31"
بنكيران كان عندو نية، ولكن ما عرفش كيفاش يتعامل مع الفساد الحقيقي,"pro PJD, contre RNI","2025-06-02"
كنتمنى انتخابات جاية كلشي يصوت و يعبر على الرأي ديالو,pro PAM,"2025-03-25"
الخطابات سياسية حاجة و الواقع حاجة أخرى, perdre la confiance dans tous les partis politiques,"2025-04-08"
بنكيران كان كيتسلى فالشعبوية، أما الإنجازات فكانت ضعيفة بزاف,contre PJD,"2025-03-07"
كلشي كان كيتحمس لبنكيران، ولكن فالاخر خرج ضد الطبقة الشغيلة,contre PJD,"2025-04-27"
الناس كتنسا أن الحكومة عندها بزاف ديال العراقيل الإدارية والسياسية، ماشي كلشي بيدها,pro RNI,"2025-06-06"
فين هي الوعود ديال 100 يوم؟ دازت 1000 يوم والنتيجة هي القهر والغلا,contre RNI,"2025-04-15"
كاين ناس فهاد البلاد ما عندهم حتى باش يشرو خبزة، وهما كيهضرو على النمو والازدهار,contre RNI,"2025-05-03"
المواطن ولى كايحسب ألف حساب باش يشري الحليب، والماء، والسكر واش هادي بلاد؟,contre RNI,"2025-05-03"
كل نهار كيطلع شي مسؤول يقول لينا الأمور مزيانة، وحنا كنعيشو فالجحيم,contre RNI,"2025-05-14"
على الأقل بنكيران كان كيهضر بصراحة، وكان كيتواجه مع الشعب ماشي كيتخبى,pro PJD,"2025-03-07"
بنكيران دار قرارات صعيبة ولكن ضرورية، ما دارش بحساب الانتخابات,pro PJD,"2025-02-26"
فوقت بنكيران زادت الأسعار، تقهرات الطبقة المتوسطة، وتراجع التعليم بزاف,contre PJD,"2025-03-09"
الحق يقال، كاين تقدم فالمجال الرقمي، بزاف ديال الأوراق ولات أونلاين,pro RNI,"2025-03-03"
الظروف الدولية صعيبة، وأي حكومة كانت غادي تتصدم خاصنا نكونو واقعيين ماشي غير نتاقدو,pro RNI,"2025-02-27"
خدامين فمشاريع كبيرة بحال الحماية الاجتماعية وتعميم التغطية الصحية، وخاص الوقت باش تبان النتيجة,pro RNI,"2025-05-31"
فين هو الدعم؟ فين هو التعليم والصحة؟ غير الشعارات فالتلفزة، أما الواقع راه كارثي,contre RNI,"2025-05-31"
هاد الحكومة كتخدم رجال الأعمال، ماشي المواطن البسيط الطبقة المتوسطة تقادات,contre RNI,"2025-05-22"
المعيشة ولات غالية بزاف، كنخاف غير من السوق، ومع ذلك كيزيدونا فالضرائب,contre RNI,"2025-04-18"
احسن حكومة في المغرب ساصوت على العدالة والتنمية اناس شرفاء لم يسرقوا بلدنا النصر حليفهم ان شاء الله,pro PJD,"2025-02-01"
بنكيران واخا كان شعبوي، كان على الأقل كيهضر مع الشعب، وكان واضح، ماشي بحال هاد الحكومة ديال التمثيل والتضليل,"contre RNI, pro PJD","2025-03-07"
فوقت بنكيران، الشعب تصدم بالزيادات فالمحروقات والتقاعد، وكان كيضحك علينا بالشعبوية وصوتو عليه الناس وهو خذلهم,contre PJD,"2025-03-03"
بنكيران كان كيلعب دور المظلوم، ولكن فالواقع زادنا فقهر، جاب قوانين ضربت الطبقة المتوسطة والفقيرة، وخلى لوبيات يستافدو,contre PJD,"2025-03-26"
واخا كاين بزاف ديال المشاكل، خاصنا نكونو واقعيين، الحكومة دارت مجهودات فمجال الرقمنة وتحسين بعض الخدمات، ولكن خاص الوقت,pro RNI,"2025-04-18"
الحكومة دابا خدامة فظروف صعيبة، كورونا، الحرب فالعالم، الأزمة الاقتصادية خاصنا نصبرو ونعاونو ماشي غير ننتاقدو,pro RNI,"2025-02-06"
نتمنى نشوف سياسات تراعي مصلحة المواطن البسيط وتقوي الطبقة المتوسطة اللي هي أساس المجتمع,"pro RNI, pro PJD","2025-04-09"
العيشة ولات صعيبة بزاف، اللحم و الخضر و الفواكه ما بقاوش فمتناول الناس,contre RNI,"2025-03-20"
أنا ماشي مع العدالة والتنمية ولكن واش معقول هاد الهجوم الكبييير عليهم، وفين كنتو من أخنوش والحكومة الحالية؟,contre RNI,"2025-06-01"
كلشي ساكت على الفساد، وكلشي كيشكي غير ففيسبوك فين هو الشعب؟ علاش ساكتين؟,contre RNI,"2025-06-02"
أنا مع بنكيران، على الأقل ما كانش كيخاف يقول الحقيقة قدام البرلمان كاين فرق كبير بينو وبين المسرحية اللي عايشين فيها دابا,"Pro PJD, Contre RNI","2025-06-03"
المواطن المغربي فقد الثقة فكلشي، الأحزاب، الحكومة، حتى الإعلام الوضع خطير ولكن صااااامت,perdre la confiance dans tous les partis politiques,"2025-06-03"
بنكيران دار أخطاء ولكن على الأقل كانت عندو شخصية دابا ما بقات لا هوية لا صوت فالمشهد السياسي,"contre RNI, contre PJD","2025-06-04"
الانتخابات الجاية؟ أنا ما غادي نصوت على حتى شي واحد كلهم بحال بحال كاين غير تبديل الكراسي,perdre la confiance dans tous les partis politiques,"2025-06-04"
الله يعطينا وجوهكم، كتعطيو زيادات فالمحروقات وتقول لينا الاقتصاد بخير؟ راه المغاربة شادين فالهاوية,contre RNI,"2025-06-05"
أنا من الناس اللي صوتو على الأحرار وندمت، حسيت بالخداع فكل كلمة قالوها قبل الانتخابات,contre RNI,"2025-06-07"
العدالة والتنمية دارت إصلاحات مؤلمة، ولكن كانت مضطرة أما الحكومة دابا كتخرب بدون تبرير,"contre RNI, pro PJD","2025-06-08"
فين هو البرنامج اللي وعدونا به فحملة 2021؟ كلشي تبخر، حتى بصيص الأمل ولا مفقود,contre RNI,"2025-06-10"
بغينا شباب جديد، وجوه نقية، ماشي نفس الوجوه ديما كاتعاود علينا من 98,"contre PAM, contre RNI, contre PJD","2025-06-12"
المستشفيات العمومية مريض كينتضر 8 ساعات، طبيب مكلفش، وأدوية مكاينتش وين الصحة لي وعدونا بيها؟,contre RNI,"2025-06-15"
المغرب كيهضر بلغة الأرقام مشاريع كبار، استثمارات ضخمة، ومستقبل واعد ,pro RNI,"2025-07-12"
الأسعار فالسوق كتزيد، الرواتب تاقفة، والحكومة كتقول الإصلاحات كتجري وينهوم؟,contre RNI,"2025-07-06"
البرلمان مغريقي 90 ديال النواب كيصوتو بدون ما يقراو المشاريع ديمقراطية مزيفة,contre RNI,"2025-07-07"
الخدمات العمومية فالقطاع العام زحمة رشوة إهمال وين الحق ديال المواطن؟,contre RNI,"2025-07-09"
المغرب من الدول القلائل اللي كتستثمر فالطاقات المتجددة خطوة رائعة,pro RNI,"2025-07-02"
المغرب كيبني مشاريع كبار بسرعة قياسية هادو علامات التقدم إن شاء الله,pro RNI,"2025-07-05"
اللي كيبرر الغلاء ديال المحروقات، راه إما غني أو تابع للحكومة,contre RNI,"2025-06-23"
المستثمرين الأجانب كيجيو، يشوفو الفساد، ويغيرو البلاصة,contre RNI,"2025-06-24"
المغرب عندو أكبر نسبة شباب عاطل فشمال إفريقيا ومازال كيقالك اقتصادنا مزيان,contre RNI,"2025-06-27"
السياسي المغربي إذا وعدك بشي، اعرف أن العكس هو اللي غادي يتحقق,"contre PAM, contre RNI, contre PJD","2025-06-16"
الحكومة راهي نايمة، والشعب كيعاني من الغلاء والبطالة وين العدل؟,contre RNI,"2025-06-15"
